"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	"УИК №616"	"УИК №617"	"УИК №618"	"УИК №619"	"УИК №620"	"УИК №621"	"УИК №622"	
341	309	178	260	184	1180	300	157	709	278	395	335	1377	1379	306	190	300	387	360	766	626	210	
310	290	160	240	170	980	300	140	660	250	450	300	1100	1100	290	160	290	360	350	700	550	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
190	177	64	161	124	382	230	80	453	139	313	215	774	770	201	108	237	249	266	557	338	112	
97	84	28	57	34	380	48	33	79	80	82	58	84	181	52	46	19	61	26	66	120	58	
23	29	68	22	12	218	22	27	128	31	55	27	242	149	37	6	34	50	58	77	92	30	
97	84	28	57	34	380	48	33	79	80	82	58	84	181	52	46	19	61	26	66	120	58	
190	177	64	161	124	382	230	80	453	139	313	215	774	770	201	108	237	249	266	557	338	112	
2	0	4	0	0	7	0	2	12	1	4	0	10	8	3	0	0	4	3	2	4	0	
285	261	88	218	158	755	278	111	520	218	391	273	848	943	250	154	256	306	289	621	454	170	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	4	0	0	0	0	1	1	3	0	5	0	4	5	1	0	0	5	2	4	2	5	
23	18	7	12	4	60	5	13	53	21	36	13	80	47	29	11	8	27	23	58	48	12	
8	11	2	3	9	67	15	7	19	21	29	10	70	62	8	12	12	18	23	41	17	8	
241	219	79	200	141	602	255	90	441	172	307	247	676	793	208	129	235	254	229	488	378	142	
3	0	0	1	1	13	0	0	0	0	6	2	8	11	2	1	0	0	5	15	2	0	
2	5	0	1	2	4	0	0	4	2	3	1	5	10	2	0	1	1	5	7	4	1	
2	3	0	0	0	7	2	0	0	1	1	0	3	3	0	0	0	0	1	5	1	0	
4	1	0	1	1	2	0	0	0	1	4	0	2	12	0	1	0	1	1	3	2	2	
