"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	
1033	689	801	1132	810	1184	948	826	787	832	323	201	191	211	305	131	203	275	624	72	128	87	93	124	177	146	98	211	275	
900	650	750	950	750	1000	800	700	700	750	300	200	170	200	260	110	170	250	550	60	110	80	80	110	150	140	90	200	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
533	310	364	583	408	517	511	493	409	425	158	104	113	146	186	68	93	112	454	43	61	42	49	62	105	90	67	103	131	
52	35	47	36	10	56	38	58	20	82	50	40	37	23	25	24	35	95	95	14	19	10	9	31	20	18	8	24	43	
315	305	339	331	332	427	251	149	271	243	92	56	20	31	49	18	42	43	1	3	30	28	22	17	25	32	15	73	76	
52	35	47	36	10	56	38	58	20	82	50	40	37	23	25	24	35	95	95	14	19	10	9	31	20	18	8	24	43	
533	310	364	583	408	517	511	493	409	425	158	104	113	146	186	68	93	112	454	43	61	42	49	62	105	90	67	103	131	
7	2	4	3	2	8	4	7	8	0	2	0	0	0	2	1	3	4	0	0	1	0	0	1	2	0	0	1	0	
578	343	407	616	416	565	545	544	421	507	206	144	150	169	209	91	125	203	549	57	79	52	58	92	123	108	75	126	174	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

13	2	0	3	2	5	4	3	2	4	3	0	0	1	0	1	0	1	2	0	1	0	1	0	0	0	1	1	2	
115	87	82	124	97	119	94	58	53	83	33	15	15	16	21	5	16	23	33	1	4	4	1	11	19	20	7	24	12	
53	24	36	52	25	56	37	37	38	29	16	5	6	11	17	4	14	18	29	0	2	4	6	3	3	5	2	6	12	
385	222	278	412	281	372	390	433	320	380	154	122	126	140	166	80	90	153	475	56	71	42	50	72	97	83	64	89	141	
5	3	4	11	4	3	5	4	6	4	0	1	2	0	1	0	3	4	4	0	0	0	0	3	0	0	1	3	3	
1	2	4	7	3	6	5	2	1	4	0	1	1	0	2	1	1	2	2	0	1	0	0	2	2	0	0	1	2	
5	0	1	2	2	0	8	6	0	2	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	0	0	1	2	
1	3	2	5	2	4	2	1	1	1	0	0	0	1	1	0	0	2	1	0	0	1	0	1	2	0	0	1	0	
