"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	"УИК №609"	"УИК №610"	"УИК №611"	"УИК №612"	"УИК №613"	"УИК №614"	"УИК №615"	
959	967	239	194	183	197	152	274	169	207	133	85	123	221	
900	900	240	180	180	180	150	250	150	190	130	90	100	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
465	470	83	80	65	83	47	63	74	79	71	42	35	110	
39	26	42	37	20	37	47	91	29	22	11	7	25	20	
396	404	115	63	95	60	56	96	47	89	48	41	40	70	
39	26	42	37	20	37	47	91	29	22	11	7	25	20	
465	470	83	80	65	83	47	63	74	79	71	42	35	110	
6	3	0	0	0	0	0	0	0	0	0	0	0	2	
498	493	125	117	85	120	94	154	103	101	82	49	60	128	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	5	0	0	0	3	0	0	2	1	0	1	0	1	
51	47	11	7	7	4	1	10	9	6	10	1	5	8	
45	30	17	6	16	13	8	12	11	8	10	4	3	10	
374	393	97	100	61	96	83	130	78	84	61	43	52	107	
11	9	0	1	0	1	0	1	0	1	0	0	0	0	
5	5	0	2	1	3	2	1	1	0	0	0	0	0	
4	2	0	0	0	0	0	0	0	1	1	0	0	1	
6	2	0	1	0	0	0	0	2	0	0	0	0	1	
