"УИК №813"	"УИК №814"	"УИК №815"	"УИК №816"	"УИК №817"	"УИК №818"	"УИК №819"	"УИК №820"	"УИК №821"	"УИК №822"	"УИК №823"	"УИК №824"	"УИК №825"	"УИК №826"	"УИК №827"	"УИК №828"	"УИК №829"	"УИК №830"	"УИК №831"	"УИК №832"	"УИК №833"	"УИК №834"	"УИК №835"	"УИК №836"	
1108	967	696	1365	662	572	319	403	128	144	242	256	291	108	102	414	371	119	103	750	206	205	326	248	
800	800	500	1000	500	500	300	400	140	150	200	250	250	100	100	400	350	130	100	600	200	200	300	250	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
581	524	331	642	345	326	96	138	59	66	145	143	174	88	75	181	191	66	59	385	114	62	104	190	
28	19	41	49	9	12	134	111	35	39	26	45	43	0	11	74	69	32	24	57	38	85	100	23	
191	257	128	309	146	162	70	151	46	45	29	62	33	12	14	145	90	32	17	158	48	53	96	37	
28	19	41	49	9	12	134	111	35	39	26	45	43	0	11	74	69	32	24	57	38	85	100	23	
581	524	330	642	345	326	96	138	59	66	145	143	174	88	75	181	191	66	59	385	114	62	104	190	
8	4	5	6	4	5	0	2	0	0	2	0	10	0	1	2	4	0	1	2	1	1	1	1	
601	539	366	685	350	333	230	247	94	105	169	188	207	88	85	253	256	98	82	440	151	146	203	212	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	9	2	7	4	0	1	0	1	0	3	2	0	3	0	2	2	0	1	3	0	2	1	0	
120	80	72	115	57	66	12	21	16	6	18	15	26	4	6	39	32	3	8	52	18	15	26	15	
46	56	26	44	27	29	12	12	11	12	12	10	19	5	5	16	17	13	3	33	18	20	22	19	
408	379	256	496	245	224	198	208	64	85	133	160	160	76	74	188	200	81	67	334	113	102	146	174	
8	3	2	4	6	5	2	1	2	2	1	1	2	0	0	1	0	0	0	6	1	3	6	1	
7	4	2	11	7	4	5	3	0	0	1	0	0	0	0	3	5	0	2	5	1	2	1	0	
0	1	5	3	3	2	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	0	0	2	
4	7	1	5	1	3	0	1	0	0	1	0	0	0	0	3	0	0	0	4	0	2	1	1	
