"УИК №868"	"УИК №869"	"УИК №870"	"УИК №871"	"УИК №872"	"УИК №873"	"УИК №874"	"УИК №875"	"УИК №876"	"УИК №877"	"УИК №878"	"УИК №879"	"УИК №880"	"УИК №881"	"УИК №882"	"УИК №883"	"УИК №884"	"УИК №885"	"УИК №886"	"УИК №887"	"УИК №888"	"УИК №889"	"УИК №890"	"УИК №891"	"УИК №892"	"УИК №893"	"УИК №894"	"УИК №895"	"УИК №896"	"УИК №897"	
1883	1809	1453	1341	436	380	614	296	939	193	195	1011	260	985	406	375	133	305	124	347	146	330	299	390	323	1209	188	259	115	741	
1700	1650	1300	1200	427	374	600	292	900	193	209	950	272	900	416	358	128	286	124	345	133	318	296	378	319	1100	195	259	122	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1018	1024	717	695	365	238	386	175	341	148	173	340	170	444	235	105	80	210	81	107	72	217	156	280	150	502	93	190	76	456	
39	36	31	33	22	63	148	64	408	29	12	255	33	115	111	99	20	36	14	74	23	49	69	33	96	88	38	25	22	184	
643	590	552	472	40	73	66	53	151	16	24	355	69	341	70	154	28	40	29	164	38	52	71	65	73	510	64	44	24	60	
39	36	31	33	22	63	148	64	408	29	12	255	33	115	111	99	20	36	14	74	23	49	69	33	96	88	38	25	22	184	
1018	1024	717	694	365	238	386	175	341	148	173	340	170	444	235	105	80	210	81	107	72	217	156	280	150	502	93	190	76	456	
7	6	5	11	0	0	2	0	2	0	0	4	0	6	0	1	0	3	0	0	0	1	3	0	2	4	0	0	0	1	
1050	1054	743	716	387	301	532	239	747	177	185	591	203	553	346	203	100	243	95	181	95	265	222	313	244	586	131	215	98	639	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	7	5	6	0	3	1	0	6	0	0	9	0	2	3	3	0	0	1	1	0	1	1	1	3	7	0	0	0	4	
141	150	111	105	29	8	32	18	57	6	3	28	1	70	21	14	5	14	7	21	6	9	14	13	46	62	6	14	9	22	
73	56	50	44	12	15	32	26	45	8	12	44	13	51	15	24	1	23	3	20	8	18	7	16	13	43	5	7	11	32	
796	806	547	529	339	272	456	190	624	159	169	479	188	412	301	157	92	202	84	135	80	235	198	277	176	462	119	186	75	571	
18	6	10	12	5	1	9	1	6	2	1	6	0	3	6	2	0	0	0	2	1	0	1	3	3	4	0	6	0	4	
8	9	11	7	1	0	2	1	2	2	0	3	1	7	0	3	0	1	0	1	0	1	0	2	0	4	1	1	2	2	
6	10	6	4	1	1	0	1	5	0	0	15	0	1	0	0	2	2	0	1	0	1	0	0	3	3	0	1	0	3	
2	10	3	9	0	1	0	2	2	0	0	7	0	7	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	
