"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	
190	242	583	171	1072	1124	1274	711	153	368	241	135	278	78	417	314	250	379	918	113	119	324	517	86	123	607	126	316	925	138	153	185	439	241	235	437	298	265	139	150	306	138	
190	243	587	171	1064	1093	1274	715	155	368	243	136	280	79	417	316	250	380	923	108	115	322	515	87	122	596	127	321	927	140	154	186	442	241	236	440	295	264	139	150	303	141	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
173	203	489	129	769	936	1047	510	142	307	212	106	248	66	367	272	213	343	749	95	103	273	390	75	81	423	94	275	774	123	143	154	285	229	203	410	255	217	88	106	290	124	
12	5	58	38	55	91	95	76	5	9	13	16	23	7	35	33	28	24	82	3	6	11	36	5	2	29	6	32	45	11	5	19	46	5	23	10	23	32	7	4	9	10	
5	35	40	4	240	66	132	129	8	52	18	14	9	6	15	11	9	13	92	10	6	38	89	7	39	144	27	14	108	6	6	13	111	7	10	20	17	15	44	40	4	7	
12	5	58	38	55	91	95	76	5	9	13	16	23	7	35	33	28	24	82	3	6	11	36	5	2	29	6	32	45	11	5	19	46	5	23	10	23	32	7	4	9	10	
173	203	489	129	769	936	1047	510	142	307	212	106	248	66	367	272	213	343	749	95	103	273	390	75	81	423	94	275	774	123	143	154	285	229	203	410	255	217	88	106	290	124	
0	0	3	0	1	3	0	10	0	3	4	2	1	0	0	2	0	0	6	0	2	1	5	0	0	0	1	0	0	0	0	1	5	3	0	0	0	2	1	0	0	1	
185	208	544	167	823	1024	1142	576	147	313	221	120	270	73	402	303	241	367	825	98	107	283	421	80	83	452	99	307	819	134	148	172	326	231	226	420	278	247	94	110	299	133	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	2	1	1	1	11	3	5	1	0	3	2	0	0	0	0	1	2	6	2	0	1	4	0	0	4	1	0	2	0	0	0	3	0	0	1	0	1	2	0	0	0	
2	5	46	14	65	37	56	83	20	41	10	4	6	2	6	5	22	6	53	22	8	35	124	6	25	196	46	8	33	6	11	3	56	28	14	4	9	6	11	21	9	3	
4	2	48	6	6	26	37	70	7	25	18	6	7	0	11	7	5	6	42	2	1	6	5	0	1	4	0	5	46	8	7	1	15	4	3	7	20	8	11	8	4	2	
177	196	445	145	749	933	1038	415	115	233	185	108	257	70	381	288	213	349	712	71	98	237	284	74	57	241	50	293	728	113	128	167	248	197	209	403	249	230	64	81	284	127	
1	1	1	0	1	3	5	1	1	4	0	0	0	1	2	2	0	2	8	1	0	1	0	0	0	3	1	0	8	3	0	1	2	0	0	1	0	1	2	0	2	1	
1	2	1	1	1	6	0	1	1	6	1	0	0	0	1	1	0	0	0	0	0	1	4	0	0	2	0	0	2	4	2	0	2	1	0	1	0	0	3	0	0	0	
0	0	1	0	0	5	3	0	2	4	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	
0	0	1	0	0	3	0	1	0	0	3	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	
