"УИК №56"	"УИК №57"	"УИК №58"	"УИК №59"	"УИК №60"	"УИК №61"	"УИК №62"	"УИК №63"	"УИК №64"	"УИК №65"	"УИК №66"	"УИК №67"	"УИК №68"	"УИК №69"	"УИК №70"	
1136	1302	1140	1125	423	308	816	770	571	247	773	965	416	675	131	
1480	1270	1470	1430	470	360	920	935	592	264	1013	1030	420	760	131	
0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	
1090	1180	1067	1029	298	224	760	724	514	213	704	882	388	583	131	
44	79	55	62	124	36	55	46	49	32	65	78	27	86	0	
346	11	348	339	48	53	105	165	29	19	244	70	5	91	0	
44	79	55	62	124	83	55	46	49	32	65	78	27	86	0	
1090	1180	1067	1029	298	224	760	724	514	213	704	882	388	583	131	
0	0	23	9	0	9	7	6	4	0	2	4	0	0	0	
1134	1259	1099	1082	422	298	808	764	559	245	767	956	415	669	131	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	2	2	3	0	1	3	2	3	0	1	0	0	0	0	
11	10	35	4	0	1	4	9	6	1	2	3	0	1	0	
3	5	0	4	2	0	3	9	6	1	2	1	3	0	0	
1101	1224	1050	1049	420	295	793	742	543	242	760	950	412	667	131	
4	5	12	5	0	1	2	2	0	1	0	2	0	1	0	
7	9	0	2	0	0	2	0	1	0	1	0	0	0	0	
2	2	0	5	0	0	1	0	0	0	1	0	0	0	0	
0	2	0	10	0	0	0	0	0	0	0	0	0	0	0	
