"УИК №3001"	"УИК №3002"	"УИК №3003"	"УИК №3004"	"УИК №3005"	"УИК №3006"	"УИК №3007"	"УИК №3008"	"УИК №3009"	"УИК №3010"	"УИК №3011"	"УИК №3012"	"УИК №3013"	"УИК №3014"	"УИК №3015"	"УИК №3016"	"УИК №3017"	"УИК №3018"	"УИК №3019"	"УИК №3020"	"УИК №3021"	"УИК №3022"	"УИК №3023"	"УИК №3024"	"УИК №3025"	"УИК №3026"	"УИК №3027"	"УИК №3028"	"УИК №3029"	"УИК №3030"	"УИК №3031"	"УИК №3032"	"УИК №3033"	"УИК №3034"	"УИК №3035"	"УИК №3036"	"УИК №3037"	"УИК №3038"	"УИК №3039"	"УИК №3040"	"УИК №3041"	"УИК №3042"	
919	480	357	325	213	572	692	1761	762	321	315	357	781	917	193	725	369	493	257	906	170	443	779	340	246	303	585	136	1025	347	435	1945	1762	383	168	1262	1323	1614	1121	1949	930	1273	
800	400	350	300	200	530	600	1500	700	280	280	320	700	850	160	650	350	400	200	850	150	400	700	300	200	250	550	100	900	300	400	1700	1600	300	150	1100	1200	1400	1000	1700	800	1000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
628	321	241	226	163	393	400	1014	509	199	203	209	473	543	144	444	246	301	165	543	111	274	469	239	154	152	431	76	603	203	226	1123	1020	200	142	748	883	980	666	1265	508	675	
75	17	10	28	13	35	45	101	65	33	27	29	34	71	4	34	12	22	20	48	9	37	27	13	25	28	15	22	31	6	8	41	38	25	0	30	11	47	31	38	18	104	
97	62	99	46	24	102	155	385	126	48	50	82	193	236	12	172	92	77	15	259	30	89	204	48	21	70	104	2	266	91	166	536	542	75	8	322	306	373	303	397	274	221	
75	17	10	28	13	35	45	101	65	33	27	29	34	71	4	34	12	22	20	48	9	37	27	13	25	28	15	22	31	6	8	41	38	25	0	30	11	47	31	38	18	104	
628	321	241	226	163	393	400	1014	509	199	203	209	473	543	144	444	246	301	165	543	111	274	469	239	154	152	431	76	603	203	226	1123	1020	200	142	748	883	980	666	1265	508	675	
14	6	2	1	0	2	9	10	2	1	3	2	2	2	0	8	1	1	3	4	1	4	6	0	1	4	5	0	5	1	1	22	9	2	1	7	13	22	15	21	13	3	
689	332	249	253	176	426	436	1105	572	231	227	236	505	612	148	470	257	322	182	587	119	307	490	252	178	176	441	98	629	208	233	1142	1049	223	141	771	881	1005	682	1282	513	776	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	2	3	1	0	2	2	5	6	1	1	2	0	4	2	4	1	2	2	2	0	1	3	3	1	0	1	0	3	3	1	3	4	1	0	5	8	5	7	10	8	7	
68	34	27	18	38	17	53	131	39	23	19	15	58	59	9	45	20	18	7	57	10	20	18	18	1	8	32	3	64	20	27	127	128	14	14	99	138	139	69	199	46	98	
40	15	14	16	3	33	26	84	44	11	15	15	38	33	8	30	8	20	12	48	16	10	40	28	25	16	16	10	42	15	8	75	80	20	5	42	66	76	53	75	41	53	
566	273	201	215	133	371	348	861	469	188	185	197	401	508	127	382	228	273	159	471	91	272	410	199	148	147	384	85	510	162	193	919	814	182	117	598	640	753	523	945	407	602	
3	3	0	2	2	3	2	8	5	2	2	2	3	2	0	2	0	2	0	3	1	1	7	2	2	0	3	0	3	3	0	6	5	1	1	7	7	12	10	19	2	2	
6	2	1	0	0	0	2	9	4	3	1	0	1	3	0	4	0	2	1	4	0	3	9	1	0	3	1	0	3	2	1	5	11	3	0	7	8	6	8	8	7	5	
0	1	3	1	0	0	1	3	1	2	3	2	2	2	1	2	0	2	0	2	1	0	1	0	0	2	4	0	1	0	2	6	3	1	1	6	11	8	8	14	2	5	
0	2	0	0	0	0	2	4	4	1	1	3	2	1	1	1	0	3	1	0	0	0	2	1	1	0	0	0	3	3	1	1	4	1	3	7	3	6	4	12	0	4	
