"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	
1291	1415	1658	955	106	120	1004	306	556	265	783	1000	242	847	394	734	196	266	367	452	566	197	121	82	318	318	
1250	1350	1600	950	100	119	1000	310	550	270	800	1000	240	850	400	750	190	280	380	450	580	220	130	83	370	330	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
860	907	1009	568	50	74	507	238	415	199	429	541	157	576	234	567	149	142	258	252	380	110	55	35	231	221	
66	61	93	60	13	11	97	22	77	3	95	94	31	101	40	74	17	34	41	48	54	26	19	18	44	43	
324	382	498	322	37	34	396	50	58	68	276	365	52	173	126	109	24	104	81	150	146	84	56	30	95	66	
66	61	93	60	13	11	97	22	77	3	95	94	31	101	40	74	17	34	41	48	54	26	19	18	44	43	
860	907	1009	568	50	74	506	238	415	199	429	541	157	576	234	567	149	142	258	252	380	110	55	35	231	221	
2	13	21	9	0	1	7	1	1	0	11	5	0	15	5	4	3	2	3	3	4	0	0	1	2	9	
924	955	1081	619	63	84	596	259	491	202	513	630	188	662	269	637	163	174	296	297	430	136	74	52	273	255	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	4	2	1	0	1	6	7	1	1	1	4	0	3	0	4	0	0	5	3	2	0	0	0	0	0	
182	167	217	149	5	16	121	35	43	10	69	82	32	118	45	78	3	12	35	64	74	29	10	6	16	15	
54	61	103	69	6	8	64	16	22	20	32	57	13	49	28	29	3	13	16	39	33	9	6	1	21	30	
655	701	749	386	51	59	387	198	417	164	406	469	141	482	191	505	156	146	232	188	312	98	57	45	234	209	
7	7	3	3	1	0	5	1	0	1	2	5	1	2	3	0	0	1	2	0	1	0	0	0	0	0	
12	10	2	5	0	0	6	1	5	3	1	4	1	4	2	19	1	2	5	2	5	0	1	0	1	1	
6	4	5	3	0	0	4	0	1	2	1	4	0	3	0	2	0	0	1	0	1	0	0	0	1	0	
2	1	0	3	0	0	3	1	2	1	1	5	0	1	0	0	0	0	0	1	2	0	0	0	0	0	
