"УИК №3701"	"УИК №3702"	"УИК №3703"	"УИК №3704"	"УИК №3705"	"УИК №3706"	"УИК №3707"	"УИК №3708"	"УИК №3709"	"УИК №3710"	"УИК №3711"	"УИК №3712"	"УИК №3713"	"УИК №3714"	"УИК №3715"	"УИК №3716"	"УИК №3717"	"УИК №3718"	"УИК №3719"	"УИК №3720"	"УИК №3721"	"УИК №3722"	"УИК №3723"	"УИК №3724"	"УИК №3725"	"УИК №3726"	"УИК №3727"	"УИК №3728"	"УИК №3729"	"УИК №3730"	"УИК №3731"	"УИК №3732"	"УИК №3733"	"УИК №3734"	"УИК №3735"	"УИК №3736"	"УИК №3737"	"УИК №3738"	"УИК №3739"	"УИК №3740"	"УИК №3741"	"УИК №3742"	"УИК №3743"	"УИК №3744"	"УИК №3745"	"УИК №3746"	"УИК №3747"	
1641	1541	1541	1486	1130	1468	1373	2024	1908	2028	2088	1681	1400	1536	1533	1107	1910	2025	1488	1380	2236	1608	1557	1270	1547	1550	1563	1528	2015	2278	1793	1386	2177	1715	1428	2216	1972	2080	1907	1852	2096	2172	1395	1373	1238	507	807	
1600	1500	1500	1400	1000	1500	1400	2000	1800	2000	2000	1600	1300	1500	1500	1000	1900	1900	1500	1400	2200	1600	1500	1200	1500	1500	1500	1500	2000	2300	1700	1300	2200	1700	1400	2200	1900	2000	1900	1800	2000	2200	1400	1300	1200	500	850	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
901	948	963	931	641	837	737	1052	1128	1147	1287	964	839	874	905	569	1168	1063	841	741	1287	842	895	606	799	871	910	763	1115	1234	961	688	1142	856	762	997	928	1085	1084	783	1070	1289	770	764	739	283	491	
59	66	43	37	23	38	19	20	70	63	72	60	29	47	35	27	34	131	22	59	53	44	39	21	21	31	50	32	50	68	35	30	27	52	67	28	157	44	21	22	44	26	28	27	18	24	297	
640	486	494	432	336	625	644	928	602	790	641	576	432	579	560	404	698	706	637	600	860	714	566	573	680	598	540	705	835	998	704	582	1031	792	571	1175	815	871	795	995	886	885	602	509	443	193	62	
59	66	43	37	23	38	19	20	70	63	72	60	29	47	35	27	34	131	22	59	53	44	39	21	21	31	50	32	50	68	35	30	27	52	67	28	157	44	21	22	44	26	28	27	18	24	297	
901	948	962	931	641	837	737	1051	1128	1147	1287	960	839	873	904	569	1168	1063	841	741	1287	842	895	606	799	871	910	763	1115	1234	959	688	1142	855	761	997	928	1085	1084	783	1070	1289	770	764	739	283	491	
7	5	17	19	13	10	13	11	11	11	8	10	11	11	14	7	23	7	7	8	16	7	17	4	14	12	8	10	14	14	20	10	16	10	7	11	10	7	17	9	16	16	14	8	5	4	11	
953	1009	988	949	651	865	743	1060	1187	1199	1351	1010	857	909	925	589	1179	1187	856	792	1324	879	917	623	806	890	952	785	1151	1288	974	708	1153	897	821	1014	1075	1122	1088	796	1098	1299	784	783	752	303	777	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

9	11	11	10	4	4	6	7	7	10	11	8	6	5	10	5	12	13	5	13	10	9	13	2	6	12	12	6	11	8	9	4	11	15	11	5	9	5	4	5	3	8	7	10	4	1	9	
125	162	155	149	106	138	103	173	153	184	209	143	118	132	145	108	179	174	145	94	201	138	135	97	102	103	135	125	144	185	145	100	139	161	124	145	137	186	161	120	162	166	109	100	111	40	98	
69	46	61	61	38	71	59	74	66	90	91	63	49	56	58	33	72	98	67	59	99	73	58	57	72	60	79	59	96	75	69	54	91	68	61	83	87	75	73	58	85	118	65	57	47	24	45	
717	743	724	690	484	619	550	756	915	870	984	747	642	677	675	423	868	864	600	601	966	638	670	447	593	689	687	567	856	961	714	529	876	613	590	743	802	814	798	591	810	970	576	585	556	228	597	
11	17	12	15	10	13	7	23	17	17	16	23	18	14	18	11	21	10	15	13	19	9	13	8	15	7	13	11	14	24	16	6	12	11	11	10	16	15	27	8	17	9	10	10	12	3	15	
6	9	7	5	1	10	5	7	10	8	10	4	5	7	3	2	9	10	6	6	11	4	10	3	4	8	5	7	8	9	12	7	10	11	9	9	8	14	11	3	9	10	7	7	9	2	4	
9	7	8	10	3	6	8	14	9	10	17	10	8	9	11	1	10	12	9	1	7	4	12	4	7	1	10	4	3	15	5	4	11	11	9	7	7	5	10	7	6	12	4	9	9	4	2	
7	14	10	9	5	4	5	6	10	10	13	12	11	9	5	6	8	6	9	5	11	4	6	5	7	10	11	6	19	11	4	4	3	7	6	12	9	8	4	4	6	6	6	5	4	1	7	
