"УИК №3901"	"УИК №3902"	"УИК №3903"	"УИК №3904"	"УИК №3905"	"УИК №3906"	"УИК №3907"	"УИК №3908"	"УИК №3909"	"УИК №3910"	"УИК №3911"	"УИК №3912"	"УИК №3913"	"УИК №3914"	"УИК №3915"	"УИК №3916"	"УИК №3917"	"УИК №3918"	"УИК №3919"	"УИК №3920"	"УИК №3921"	"УИК №3922"	"УИК №3923"	"УИК №3924"	"УИК №3925"	"УИК №3926"	"УИК №3927"	"УИК №3928"	"УИК №3929"	"УИК №3930"	"УИК №3931"	"УИК №3932"	"УИК №3933"	"УИК №3934"	"УИК №3935"	"УИК №3936"	"УИК №3937"	"УИК №3938"	"УИК №3939"	"УИК №3940"	"УИК №3941"	"УИК №3942"	"УИК №3943"	"УИК №3944"	"УИК №3945"	"УИК №3946"	"УИК №3947"	"УИК №3948"	"УИК №3949"	"УИК №3950"	"УИК №3951"	
1991	1211	1864	1429	926	658	2370	1783	2011	2056	2028	1677	1509	1479	2201	2461	2190	2539	2090	2092	1718	1538	1335	2521	1626	2307	2036	2256	1618	2421	1967	2385	1986	2239	2109	1933	1245	2189	2914	2326	2152	2675	1240	1710	1931	2097	1780	1518	1818	1809	494	
1950	1150	1750	1350	850	650	2250	1650	1950	2050	1950	1550	1350	1250	2150	2350	2050	2350	1850	1850	1550	1350	1650	2450	1350	1950	1950	2150	1550	2250	1950	2350	1950	1850	1850	2200	1250	2150	2850	2300	2050	2250	950	1250	1750	1950	1750	1450	1750	1550	700	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1055	643	1060	737	466	400	1430	1031	1049	1183	973	925	927	921	1301	1565	1281	1542	1130	993	912	843	1095	1289	902	1424	1314	1147	973	1583	1172	1264	1218	1221	1294	1312	802	1110	2064	1499	1222	1560	661	946	1110	1329	988	897	925	987	302	
49	14	41	64	40	15	25	44	45	29	68	49	35	38	63	29	19	30	57	54	55	52	49	71	46	52	64	46	26	35	45	25	44	33	52	18	36	36	121	62	17	29	112	175	49	75	82	71	78	14	178	
846	493	649	549	344	235	795	575	856	838	909	576	388	291	786	756	750	778	663	803	583	455	506	1090	402	474	572	957	551	632	733	1061	688	596	504	870	412	1004	665	739	811	661	177	129	591	546	680	482	747	549	220	
49	14	41	64	40	15	25	44	45	29	68	49	35	38	63	29	19	30	57	54	55	52	49	71	46	52	64	46	26	35	45	25	44	33	52	18	36	36	121	62	17	29	112	175	49	75	82	71	78	14	178	
1055	643	1060	737	466	400	1430	1031	1049	1183	973	920	927	921	1301	1565	1280	1542	1128	993	912	843	1095	1289	902	1424	1314	1147	973	1583	1170	1264	1218	1218	1292	1311	801	1110	2061	1499	1222	1558	660	945	1110	1329	988	897	923	987	302	
7	8	13	8	3	6	14	13	8	16	12	11	16	9	13	17	7	25	16	7	12	7	14	22	9	16	11	11	17	12	11	11	16	28	17	26	9	12	31	30	13	15	7	8	16	20	9	16	6	7	4	
1097	649	1088	793	503	409	1441	1062	1086	1196	1029	958	946	950	1351	1577	1292	1547	1169	1040	955	888	1130	1338	939	1460	1367	1182	982	1606	1204	1278	1246	1223	1327	1303	828	1134	2151	1531	1226	1572	765	1112	1143	1384	1061	952	995	994	476	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	6	4	11	0	21	9	6	9	5	13	8	6	9	11	12	10	10	7	3	4	6	5	7	13	10	6	8	11	6	10	13	4	11	11	10	8	8	12	10	17	9	12	6	18	10	8	9	3	1	
163	113	210	157	81	43	272	162	163	197	162	175	128	163	219	289	195	255	174	175	134	124	166	194	131	224	261	198	143	269	214	256	245	274	217	313	138	197	287	265	221	243	132	226	201	297	199	150	140	186	60	
57	41	57	51	27	23	106	73	58	69	57	65	60	75	69	82	74	82	88	65	64	49	78	84	55	101	66	56	43	84	84	59	55	68	75	77	36	60	136	97	67	77	50	42	56	58	57	58	60	46	20	
844	476	785	548	369	332	981	773	832	859	750	660	702	667	1019	1117	948	1128	857	759	719	677	839	1021	734	1063	984	885	732	1139	842	861	872	823	973	792	590	818	1550	1069	822	1122	513	773	826	917	727	668	733	716	385	
13	4	11	13	6	5	20	11	12	27	15	18	19	18	10	33	21	33	12	10	13	9	15	17	3	18	14	17	25	43	21	35	25	21	20	53	19	21	91	37	36	58	26	20	26	33	27	26	21	21	5	
7	9	10	8	0	1	14	13	4	6	11	6	7	5	3	10	8	13	8	7	9	10	8	10	5	16	7	7	5	12	10	8	6	7	6	4	5	9	17	8	14	3	5	5	3	11	7	6	7	3	2	
7	1	5	9	5	3	18	10	3	17	19	10	12	8	14	17	25	9	13	8	5	9	10	1	2	11	12	6	15	28	13	27	13	12	15	23	12	12	27	20	24	31	13	12	12	16	15	15	16	8	2	
3	2	4	3	4	2	9	11	8	12	10	11	10	8	8	18	9	17	7	9	8	6	8	6	2	14	13	7	11	20	14	22	17	14	10	30	18	9	35	23	32	21	17	22	13	34	19	21	9	11	1	
