"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	"УИК №227"	"УИК №228"	"УИК №229"	"УИК №230"	"УИК №231"	"УИК №232"	"УИК №233"	"УИК №234"	"УИК №235"	"УИК №236"	"УИК №237"	"УИК №238"	"УИК №239"	"УИК №240"	"УИК №241"	"УИК №242"	"УИК №243"	"УИК №244"	"УИК №245"	"УИК №246"	"УИК №247"	"УИК №248"	"УИК №249"	"УИК №250"	"УИК №251"	
793	619	443	390	1428	458	1525	936	426	616	604	551	201	1204	1623	1536	1687	762	255	651	181	687	340	393	1844	2065	1833	1943	1952	1871	1940	1921	1491	1570	1691	1913	1762	1881	1662	368	407	
770	600	400	400	1450	400	1500	850	350	550	550	500	180	1150	1600	1500	1700	700	200	600	185	650	300	350	1800	2050	1850	1950	1950	1850	1950	1950	1450	1550	1700	1950	1750	1850	1650	350	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
347	409	222	186	694	223	917	510	223	383	346	267	110	767	1037	1002	933	505	162	453	143	442	185	263	899	1106	948	1022	1136	1042	1079	1029	809	1001	962	1108	959	1037	734	227	225	
222	90	122	74	231	144	101	120	50	29	54	59	7	81	87	44	108	67	12	46	14	94	61	34	149	92	106	117	65	72	90	71	90	45	69	82	181	118	138	20	22	
201	101	56	140	525	33	482	220	77	138	150	174	63	302	476	454	659	128	26	101	28	114	54	53	752	852	796	811	749	736	781	850	551	504	669	760	610	695	778	103	153	
222	90	122	74	231	144	101	120	50	29	54	59	7	81	87	44	108	67	12	46	14	94	61	34	149	92	106	117	65	72	90	71	90	45	69	82	181	118	138	20	22	
347	409	222	186	694	223	917	510	223	383	346	267	110	767	1037	1002	932	505	162	453	143	442	185	263	899	1106	948	1022	1136	1042	1079	1028	809	1001	962	1108	959	1037	728	227	225	
4	4	5	6	4	4	12	6	3	4	3	2	0	8	31	21	23	6	3	5	3	2	1	4	16	22	21	12	21	15	20	16	12	13	15	19	17	24	16	3	6	
565	495	339	254	921	363	1006	624	270	408	397	324	117	840	1093	1025	1017	566	171	494	154	534	245	293	1032	1176	1033	1127	1180	1099	1149	1083	887	1033	1016	1171	1123	1131	850	244	241	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	4	3	0	8	3	10	5	1	3	0	1	0	7	9	16	9	5	0	3	0	4	4	2	5	5	3	6	8	5	7	9	8	12	12	5	6	9	10	1	1	
137	39	48	32	134	23	132	65	20	54	38	52	16	172	137	171	133	86	20	52	13	59	29	17	132	144	102	132	141	139	124	144	124	132	126	124	117	159	84	27	34	
45	37	20	27	102	29	95	71	24	45	56	19	8	86	120	83	126	81	15	46	7	46	32	15	74	95	99	89	112	114	93	107	84	69	102	118	83	98	71	27	21	
369	406	253	194	655	296	740	462	217	294	296	241	92	551	794	713	727	388	134	382	134	417	176	254	787	903	808	878	897	820	890	792	651	787	735	892	890	834	663	184	182	
4	2	8	1	4	2	13	10	1	6	0	7	0	8	12	20	10	2	0	7	0	3	2	0	17	12	6	10	8	6	18	15	8	7	16	12	14	10	3	3	1	
1	3	3	0	4	5	6	2	3	2	1	0	0	11	8	11	1	0	1	2	0	4	2	4	5	7	2	4	5	2	6	6	4	5	15	4	5	8	2	0	0	
3	3	2	0	9	4	4	5	3	2	5	1	1	2	6	5	6	3	1	2	0	1	0	0	6	5	7	5	7	4	7	10	5	6	3	8	3	6	11	1	1	
1	1	2	0	5	1	6	4	1	2	1	3	0	3	7	6	5	1	0	0	0	0	0	1	6	5	6	3	2	9	4	0	3	15	7	8	5	7	6	1	1	
