"УИК №1501"	"УИК №1502"	"УИК №1503"	"УИК №1504"	"УИК №1505"	"УИК №1506"	"УИК №1507"	"УИК №1508"	"УИК №1509"	"УИК №1510"	"УИК №1511"	"УИК №1512"	"УИК №1513"	"УИК №1514"	"УИК №1515"	"УИК №1516"	"УИК №1517"	"УИК №1518"	"УИК №1519"	"УИК №1520"	"УИК №1521"	"УИК №1522"	"УИК №1523"	"УИК №1524"	"УИК №1525"	"УИК №1526"	"УИК №1527"	"УИК №1528"	"УИК №1529"	"УИК №1530"	"УИК №1531"	"УИК №1532"	"УИК №1533"	"УИК №1534"	
1070	1212	883	1086	1235	1432	455	1169	1173	1118	247	599	254	70	566	259	678	975	794	905	763	668	881	178	1138	567	352	429	141	502	149	118	204	179	
1100	1250	950	1150	1300	1500	490	1250	1250	1150	280	670	300	77	620	270	700	1100	900	1000	970	700	1000	195	1200	600	380	480	165	570	185	145	245	185	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
612	664	508	621	691	802	294	684	575	549	190	349	195	43	400	208	473	638	471	430	478	429	439	147	945	335	185	263	106	297	80	88	137	149	
247	194	86	167	194	142	57	183	221	154	39	76	30	19	94	27	89	198	149	261	155	123	243	24	84	154	75	74	31	86	49	22	43	29	
241	392	356	362	415	556	139	383	454	447	51	245	75	15	126	35	138	264	280	309	337	148	318	24	171	111	120	143	28	187	56	35	65	7	
247	194	86	167	194	142	57	183	221	154	39	76	30	19	94	27	89	198	149	261	155	123	243	24	84	154	75	74	31	86	49	22	43	29	
612	664	508	621	691	802	294	684	575	549	190	349	195	43	400	208	473	638	471	430	478	429	439	147	945	335	185	263	106	297	80	88	137	149	
5	9	2	3	4	3	2	7	3	5	5	2	0	0	4	2	4	0	1	2	3	2	3	0	2	4	0	2	0	0	0	1	0	0	
854	849	592	785	881	941	349	860	793	698	224	423	225	62	490	233	558	836	619	689	630	550	679	171	1027	485	260	335	137	383	129	109	180	178	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

10	2	7	2	6	5	3	8	6	7	1	6	1	0	1	0	2	3	0	5	3	8	8	1	1	1	1	4	1	2	1	0	1	2	
112	143	97	124	135	167	56	126	105	90	20	56	25	4	57	43	35	104	81	98	108	81	113	11	84	65	32	47	9	36	4	11	22	7	
58	60	46	58	39	67	37	67	60	54	8	34	14	3	23	7	35	19	38	69	73	32	57	14	58	16	26	23	8	32	3	10	17	6	
654	633	423	580	688	677	243	629	606	528	189	319	182	53	401	181	480	690	495	497	431	420	485	142	868	399	197	254	118	312	118	88	136	162	
4	2	1	8	4	8	2	14	7	4	3	3	3	0	5	1	3	4	1	3	3	2	6	0	5	2	1	1	0	1	0	0	1	1	
6	7	9	10	5	13	4	9	5	6	2	5	0	2	2	0	0	8	4	9	4	5	6	3	7	2	3	4	1	0	3	0	2	0	
4	2	8	3	2	2	3	7	2	3	1	0	0	0	1	0	3	5	0	2	5	2	3	0	2	0	0	1	0	0	0	0	0	0	
6	0	1	0	2	2	1	0	2	6	0	0	0	0	0	1	0	3	0	6	3	0	1	0	2	0	0	1	0	0	0	0	1	0	
