"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2212"	"УИК №2213"	"УИК №2214"	"УИК №2215"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2232"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	
1882	868	815	2186	1068	692	1077	698	2162	1520	1776	677	82	119	539	408	100	1130	267	122	251	464	696	551	388	182	455	509	332	116	194	704	812	200	413	76	774	185	
1500	800	800	2100	1000	700	1000	700	2200	1500	1610	700	89	120	550	400	110	1125	280	150	280	500	700	650	400	205	450	600	300	124	200	800	900	200	450	90	800	200	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
971	524	486	1404	616	368	591	358	1154	762	1069	408	42	60	297	203	50	713	173	81	173	280	506	341	249	116	282	380	220	76	105	421	444	109	241	64	448	104	
57	31	21	72	26	27	35	37	40	49	43	28	6	3	77	97	11	35	17	15	39	54	44	66	45	19	28	29	18	4	16	39	55	10	38	5	63	18	
472	245	293	624	358	305	374	305	1006	689	498	264	41	57	176	100	49	377	90	54	68	166	150	243	106	70	140	191	62	44	79	340	401	81	171	21	289	78	
57	31	21	72	26	27	35	37	40	49	43	28	6	3	77	97	11	35	17	15	39	54	44	66	45	19	28	29	18	4	16	39	55	10	38	5	63	18	
971	524	486	1404	616	368	591	358	1153	762	1069	408	42	60	297	203	50	711	173	81	173	280	506	341	249	116	282	380	220	76	105	421	444	109	241	64	448	104	
6	7	0	14	6	1	8	6	17	7	9	2	0	1	3	0	0	4	1	0	2	0	1	5	2	0	4	4	1	0	1	8	9	1	1	2	8	0	
1022	548	507	1462	636	394	618	389	1176	804	1103	434	48	62	371	300	61	742	189	96	210	334	549	402	292	135	306	405	237	80	120	452	490	118	278	67	503	122	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	5	7	13	5	4	4	2	11	5	4	2	1	0	0	2	1	7	0	3	0	0	0	1	0	0	1	4	0	1	1	7	3	0	1	0	1	1	
134	65	71	235	77	65	71	41	129	97	162	29	3	17	19	40	3	137	25	11	22	41	47	38	30	13	33	54	23	10	4	43	57	9	42	5	43	13	
68	44	42	115	45	16	28	33	80	69	93	24	0	2	30	17	4	82	19	4	11	31	32	22	19	16	25	36	8	5	6	21	34	7	20	6	43	6	
796	419	367	1049	490	298	503	309	930	608	809	367	43	42	312	237	49	492	140	78	172	256	464	329	242	100	243	305	205	61	106	374	387	100	208	56	406	98	
3	5	6	8	11	2	3	0	12	3	17	2	1	0	2	4	4	11	2	0	4	4	2	5	1	0	2	2	0	0	0	4	5	0	3	0	5	3	
9	4	6	20	3	5	7	3	6	10	8	4	0	0	4	0	0	6	2	0	0	1	3	4	0	5	2	1	1	1	3	2	2	2	0	0	4	1	
5	2	2	13	4	4	1	0	3	10	7	2	0	0	2	0	0	3	1	0	0	1	1	2	0	1	0	0	0	1	0	1	2	0	2	0	1	0	
1	4	6	9	1	0	1	1	5	2	3	4	0	1	2	0	0	4	0	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	2	0	0	0	
