"УИК №3301"	"УИК №3302"	"УИК №3303"	"УИК №3304"	"УИК №3305"	"УИК №3306"	"УИК №3307"	"УИК №3308"	"УИК №3309"	"УИК №3310"	"УИК №3311"	"УИК №3312"	"УИК №3313"	"УИК №3314"	"УИК №3315"	"УИК №3316"	"УИК №3317"	"УИК №3318"	"УИК №3319"	"УИК №3320"	"УИК №3321"	"УИК №3322"	"УИК №3323"	"УИК №3324"	"УИК №3325"	
1426	1281	541	418	1513	1045	396	172	259	119	645	426	289	816	532	339	379	899	288	768	77	562	275	510	544	
1450	1300	550	400	1550	1000	400	180	250	110	650	420	310	850	550	400	400	900	300	800	70	550	290	520	550	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
700	625	309	192	720	397	171	112	127	47	371	167	166	463	213	177	165	574	136	534	39	327	131	209	291	
63	215	66	150	145	335	48	44	78	44	150	130	67	177	195	114	168	161	90	211	30	139	111	245	121	
687	460	175	58	685	268	181	24	45	19	129	123	77	210	142	109	67	165	74	55	1	84	48	66	138	
63	215	66	150	145	335	48	44	78	44	150	130	67	177	195	114	168	161	90	211	30	139	111	245	121	
686	625	309	192	720	397	171	112	127	47	371	167	166	463	213	177	165	574	136	534	39	327	131	209	291	
4	14	6	2	7	5	2	0	0	0	4	0	1	4	5	1	3	8	0	0	0	3	0	2	5	
745	826	369	340	858	727	217	156	205	91	517	297	232	636	403	290	330	727	226	745	69	463	242	452	407	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

3	3	2	2	12	7	0	1	0	1	2	4	0	2	1	0	0	5	1	0	0	2	1	0	1	
146	140	70	38	165	106	34	23	29	7	64	33	55	82	27	21	34	119	30	26	3	76	9	57	63	
54	56	15	36	42	26	12	14	8	8	55	20	16	45	25	12	8	33	19	8	6	25	20	24	31	
524	608	277	262	626	578	167	114	167	75	388	233	159	501	346	254	282	563	176	710	58	351	211	365	307	
6	9	3	1	4	4	1	1	1	0	4	2	1	0	1	2	4	1	0	0	1	3	0	2	2	
7	4	1	1	2	3	2	0	0	0	2	3	0	2	1	0	0	2	0	1	1	2	0	4	1	
5	3	0	0	6	2	1	2	0	0	1	2	1	2	1	0	1	2	0	0	0	4	1	0	2	
0	3	1	0	1	1	0	1	0	0	1	0	0	2	1	1	1	2	0	0	0	0	0	0	0	
