"УИК №4401"	"УИК №4402"	"УИК №4403"	"УИК №4404"	"УИК №4405"	"УИК №4406"	"УИК №4407"	"УИК №4408"	"УИК №4409"	"УИК №4410"	"УИК №4411"	"УИК №4412"	"УИК №4413"	"УИК №4414"	"УИК №4415"	"УИК №4416"	"УИК №4417"	"УИК №4418"	"УИК №4419"	"УИК №4420"	"УИК №4421"	"УИК №4422"	"УИК №4423"	"УИК №4424"	"УИК №4425"	"УИК №4426"	
1842	1730	2214	1814	1892	1060	1508	2616	1758	1074	1056	1273	960	863	1364	2250	1661	1780	1225	2252	1704	2580	1203	1287	2522	2295	
1600	1600	2000	1500	1500	1000	1500	2600	1900	1000	1000	1200	900	800	1300	2000	1600	1600	1300	2000	1600	2400	1000	1200	2000	2000	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1032	1018	1256	977	864	600	795	1432	986	587	547	599	529	436	717	1192	1043	1001	875	1277	1069	1377	586	689	1382	1228	
106	62	37	72	233	52	73	74	88	51	37	85	88	31	36	97	35	62	27	26	37	107	50	107	101	111	
462	520	707	451	403	348	632	1094	826	362	416	516	282	333	547	711	522	537	398	697	493	916	364	404	517	661	
106	62	37	71	233	52	73	74	88	51	37	85	88	31	36	97	35	62	27	26	37	107	50	107	101	111	
1032	1018	1256	977	864	600	795	1432	986	587	547	599	528	436	717	1192	1043	1001	875	1277	1069	1377	586	689	1382	1228	
18	12	15	5	12	8	0	12	15	3	7	7	10	0	6	5	4	5	10	7	15	9	2	4	16	20	
1120	1068	1278	1043	1085	644	868	1494	1059	635	577	677	606	467	747	1284	1074	1058	892	1296	1091	1475	634	792	1467	1319	
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

11	11	6	12	6	5	7	16	9	5	7	4	8	5	7	12	6	7	9	13	7	9	11	7	10	17	
216	206	239	186	195	124	183	295	172	133	107	102	96	76	125	260	193	167	151	220	176	247	111	155	295	290	
74	67	104	69	78	41	66	122	80	77	58	71	37	38	58	124	83	66	64	93	88	141	41	52	88	86	
782	755	891	754	778	453	585	1014	751	410	377	478	449	337	536	846	768	793	635	929	769	1034	453	555	1033	882	
8	10	18	13	12	3	3	12	14	4	9	8	6	2	5	14	12	8	16	14	16	14	5	3	10	17	
15	7	9	2	4	11	15	24	14	3	7	5	6	5	5	15	4	5	9	14	15	10	2	7	15	15	
5	7	3	4	3	1	4	7	11	2	7	6	4	3	7	11	6	9	3	5	6	11	5	9	11	6	
9	5	8	3	9	6	5	4	8	1	5	3	0	1	4	2	2	3	5	8	14	9	6	4	5	6	
