"УИК №450"	"УИК №451"	"УИК №452"	"УИК №453"	"УИК №454"	"УИК №455"	"УИК №456"	"УИК №457"	"УИК №458"	"УИК №459"	"УИК №460"	"УИК №461"	"УИК №462"	"УИК №463"	"УИК №464"	"УИК №465"	"УИК №466"	"УИК №467"	"УИК №468"	"УИК №469"	"УИК №470"	
1368	750	578	1039	1046	1178	1049	1207	1274	875	973	195	195	131	170	183	441	157	434	306	394	
1298	795	565	1015	1061	1169	1079	1235	1312	959	1055	210	190	125	164	180	442	153	443	323	502	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
803	422	315	613	640	746	693	830	779	599	574	94	94	83	92	96	182	67	280	153	208	
81	29	49	48	36	53	49	35	73	42	41	32	41	13	36	11	105	36	43	49	33	
414	344	201	354	385	370	337	370	460	318	440	84	55	29	36	73	155	50	120	121	261	
81	28	49	48	36	53	49	35	73	42	41	32	41	13	36	11	105	36	43	49	33	
803	422	315	613	640	744	693	830	779	599	574	94	94	83	91	96	182	67	280	153	208	
9	3	4	9	3	12	3	10	16	2	7	0	1	0	0	1	3	0	2	1	2	
875	447	360	652	673	785	739	855	836	639	608	126	134	96	127	106	284	103	321	201	239	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

7	4	3	3	4	5	10	6	7	5	4	0	0	0	0	0	2	1	1	2	2	
141	81	60	109	104	126	138	151	148	64	74	13	19	11	17	26	57	10	49	25	39	
75	44	35	48	57	73	59	37	69	46	55	7	7	6	11	12	31	11	21	20	25	
605	302	250	467	486	546	509	623	583	509	457	104	101	77	97	61	182	81	241	147	164	
17	10	5	14	9	19	11	17	8	5	6	2	4	0	1	6	3	0	4	3	4	
7	2	6	3	2	4	1	3	7	5	6	0	2	1	0	0	5	0	2	3	3	
12	3	1	3	5	6	3	9	7	4	5	0	1	1	1	1	3	0	1	0	1	
11	1	0	5	6	6	8	9	7	1	1	0	0	0	0	0	1	0	2	1	1	
