"УИК №780"	"УИК №781"	"УИК №782"	"УИК №783"	"УИК №784"	"УИК №785"	"УИК №786"	"УИК №787"	"УИК №788"	"УИК №789"	"УИК №790"	"УИК №791"	"УИК №792"	"УИК №793"	"УИК №794"	"УИК №795"	"УИК №796"	"УИК №797"	"УИК №798"	"УИК №799"	"УИК №800"	
706	568	625	660	540	750	711	522	419	475	426	471	500	462	289	242	247	286	331	281	353	
700	600	600	700	500	700	700	500	500	500	450	450	500	500	300	250	250	250	400	300	400	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
454	363	382	421	252	442	376	234	241	232	225	242	276	267	189	167	166	152	206	198	234	
45	29	20	23	47	39	18	53	42	31	33	22	60	105	22	28	30	50	44	39	56	
201	208	198	256	201	219	306	213	217	237	192	186	164	128	89	55	54	48	150	63	110	
45	29	20	23	47	39	18	53	42	31	33	22	60	105	22	28	30	50	44	39	56	
454	363	382	421	252	442	376	234	241	232	225	242	276	267	189	167	166	152	206	198	234	
5	1	2	3	3	6	1	3	2	2	4	3	6	5	1	4	2	1	0	2	2	
494	391	400	441	296	475	393	284	281	261	254	261	330	367	210	191	194	201	250	235	288	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	1	3	0	1	4	3	3	2	0	6	8	2	5	1	2	1	1	1	1	2	
89	53	52	82	41	112	73	40	33	44	28	30	48	68	39	31	24	28	21	42	16	
26	34	24	24	33	30	27	32	23	20	26	23	37	40	15	15	16	26	19	22	36	
364	291	318	323	217	322	280	193	215	188	183	189	230	247	152	139	148	140	203	164	230	
3	7	1	6	0	4	2	6	4	3	6	6	4	2	2	3	5	4	3	2	3	
2	0	1	0	1	2	4	2	0	2	2	1	7	2	0	0	0	0	0	0	0	
2	3	1	3	3	0	2	5	2	3	1	1	1	1	0	1	0	1	3	1	0	
2	2	0	3	0	1	2	3	2	1	2	3	1	2	1	0	0	1	0	3	1	
