"УИК №1301"	"УИК №1302"	"УИК №1303"	"УИК №1304"	"УИК №1305"	"УИК №1306"	"УИК №1307"	"УИК №1308"	"УИК №1309"	"УИК №1310"	"УИК №1311"	"УИК №1312"	"УИК №1313"	"УИК №1314"	"УИК №1315"	"УИК №1316"	"УИК №1317"	"УИК №1318"	"УИК №1319"	"УИК №1320"	"УИК №1321"	"УИК №1322"	"УИК №1323"	"УИК №1324"	"УИК №1325"	"УИК №1326"	"УИК №1327"	"УИК №1328"	"УИК №1329"	"УИК №1330"	"УИК №1331"	"УИК №1332"	"УИК №1333"	"УИК №1334"	"УИК №1335"	"УИК №1336"	"УИК №1337"	"УИК №1338"	"УИК №1339"	"УИК №1340"	"УИК №1341"	"УИК №1342"	"УИК №1343"	"УИК №1344"	"УИК №1345"	"УИК №1346"	"УИК №1347"	"УИК №1348"	"УИК №1349"	"УИК №1350"	"УИК №1351"	"УИК №1352"	"УИК №1353"	"УИК №1354"	"УИК №1355"	"УИК №1356"	"УИК №1357"	"УИК №1358"	"УИК №1359"	"УИК №1360"	"УИК №1361"	"УИК №1362"	"УИК №1363"	"УИК №1364"	"УИК №1365"	"УИК №1366"	"УИК №1367"	"УИК №1368"	"УИК №1369"	"УИК №1370"	"УИК №1371"	"УИК №1372"	"УИК №1373"	"УИК №1374"	"УИК №1375"	"УИК №1376"	"УИК №1377"	"УИК №1378"	"УИК №1379"	"УИК №1380"	"УИК №1381"	"УИК №1382"	"УИК №1383"	"УИК №1384"	
2429	2319	2337	2315	2216	2594	2647	2385	2193	2409	1966	2430	2082	1760	2324	2337	2198	235	109	2274	83	2264	2377	1853	1803	1931	2172	2212	2086	2242	1966	2188	2089	2061	1983	2175	922	2491	2299	2304	537	447	503	1923	1842	1776	2000	1097	1991	2183	2376	2169	1872	1743	1902	1993	2335	1794	1913	1341	2875	1698	2259	1681	2309	2663	2791	2726	2911	235	271	1521	2484	2163	2137	1153	1061	2719	2063	2758	2338	1696	2087	2463	
2200	2200	2000	2200	2000	2300	2500	2200	2000	2200	1700	2200	2000	1500	2200	2200	2000	300	150	2000	100	2200	2000	1500	1500	1500	2000	2000	2000	2000	1600	2000	1700	2000	1500	2000	800	2300	2200	2200	600	600	600	1700	1700	1500	1900	1000	1800	2000	2200	2000	1700	1500	1700	1800	2200	1500	1700	1200	2700	1500	2200	1500	2200	2500	2500	2500	2500	300	300	1300	2300	2100	2000	1000	1000	2500	2000	2500	2300	1500	1900	2300	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1129	1261	1277	1288	1207	1345	1227	1238	1111	1224	939	1215	975	875	1229	1228	1062	235	109	1210	82	1306	1285	1058	952	999	1049	1226	1086	1186	960	1186	1113	1124	1049	1220	542	1475	1282	1175	304	308	310	1034	977	929	1153	527	1029	1128	1315	1203	972	950	1000	977	1239	905	999	751	1429	827	1207	896	1238	1328	1420	1396	1479	220	256	769	1372	1726	1152	673	614	1485	1052	1467	1146	790	891	917	
85	30	63	23	18	37	29	59	42	42	42	66	43	23	50	49	61	0	0	73	0	32	14	31	32	35	27	61	41	77	26	24	47	59	34	56	12	51	57	42	226	133	187	57	37	92	41	33	66	47	41	39	65	5	61	67	41	50	73	42	12	16	17	16	90	41	24	26	37	0	15	95	45	74	44	65	0	22	21	113	33	24	18	19	
986	909	660	889	775	918	1244	903	847	934	719	919	982	602	921	923	877	65	41	717	18	862	701	411	516	466	924	713	873	737	614	790	540	817	417	724	246	774	861	983	70	159	103	609	686	479	706	440	705	825	844	758	663	545	639	756	920	545	628	407	1259	657	976	588	872	1131	1056	1078	984	80	29	436	883	300	804	262	386	993	927	920	1121	686	991	1364	
85	30	63	23	18	37	29	59	42	42	42	66	43	23	50	49	61	0	0	73	0	32	14	31	32	35	27	61	41	77	26	24	47	59	34	55	12	51	57	42	226	133	187	57	37	92	41	33	66	47	41	39	65	5	61	67	41	50	73	42	12	16	17	16	90	41	24	26	37	0	15	95	45	74	44	65	0	22	21	113	33	24	18	19	
1129	1261	1277	1288	1207	1345	1227	1238	1111	1224	939	1215	975	875	1228	1228	1062	235	109	1210	82	1306	1285	1058	952	999	1049	1226	1086	1186	960	1186	1113	1122	1049	1220	542	1475	1282	1175	304	308	310	1034	977	929	1152	527	1025	1128	1314	1203	972	950	1000	977	1239	905	997	751	1429	827	1206	896	1238	1328	1418	1394	1479	220	256	769	1372	1726	1151	672	614	1485	1051	1467	1146	789	891	917	
8	9	10	22	12	7	12	9	9	11	9	14	11	10	10	20	7	6	0	5	1	19	16	16	16	10	17	8	10	11	6	7	11	7	14	14	5	16	10	15	0	5	5	7	11	9	11	5	9	16	5	11	18	6	11	8	15	10	10	7	13	12	16	8	8	8	6	15	15	5	3	3	8	23	9	6	7	19	9	26	9	5	1	7	
1206	1282	1330	1289	1213	1375	1244	1288	1144	1255	972	1267	1007	888	1268	1257	1116	229	109	1278	81	1319	1283	1073	968	1024	1059	1279	1117	1252	980	1203	1149	1174	1069	1261	549	1510	1329	1202	530	436	492	1084	1003	1012	1182	555	1082	1159	1350	1231	1019	949	1050	1036	1265	945	1060	786	1428	831	1207	904	1320	1361	1436	1405	1501	215	268	861	1409	1777	1186	731	607	1488	1063	1554	1170	808	908	929	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

14	7	9	6	13	14	15	14	8	10	7	7	7	8	14	11	9	0	0	9	0	8	10	6	9	12	6	12	11	10	6	10	8	12	13	8	11	17	10	11	2	3	1	7	8	10	11	5	6	10	7	13	12	11	5	4	7	11	12	10	7	6	7	14	8	9	12	11	6	9	2	6	9	9	9	5	8	12	9	13	6	7	5	5	
162	166	168	161	117	177	134	157	160	156	135	123	120	133	165	168	141	15	11	151	10	165	179	133	137	133	133	171	129	154	100	155	129	136	137	147	76	204	176	132	53	43	52	127	108	95	143	68	140	156	178	144	130	150	131	129	150	121	127	130	161	95	124	104	110	171	191	173	182	13	9	112	182	255	157	75	85	199	106	183	155	101	113	99	
86	85	81	86	83	80	81	72	74	71	51	82	56	38	61	64	68	38	6	69	8	65	75	40	27	54	67	68	54	55	62	53	62	53	54	67	35	60	63	56	37	26	37	68	57	52	64	33	56	64	69	62	41	46	60	61	72	58	44	29	98	45	67	42	74	70	63	97	80	21	16	35	69	117	55	48	32	71	62	77	69	53	44	55	
903	970	1027	1002	956	1037	967	983	856	963	722	997	778	666	960	942	855	150	89	982	60	1015	955	857	745	750	800	975	876	966	764	923	909	911	817	969	410	1136	1010	935	414	348	378	851	779	799	903	425	838	872	1029	963	771	684	804	788	978	699	797	575	1116	656	970	703	1094	1054	1131	1083	1191	155	233	670	1100	1321	921	557	458	1142	825	1240	893	612	713	733	
11	15	16	14	14	22	20	23	13	20	20	17	22	13	14	26	14	20	2	26	3	23	34	16	17	25	20	16	20	23	14	25	11	26	24	22	6	34	20	23	9	4	9	13	14	21	22	11	15	15	14	18	28	21	23	19	16	22	35	8	24	12	14	14	16	25	16	20	12	10	2	10	21	36	19	17	12	28	23	13	18	13	11	9	
16	7	13	9	9	10	9	19	9	8	10	14	9	11	13	9	5	0	1	8	0	10	4	9	6	9	10	15	13	13	12	7	10	7	8	10	4	16	12	6	3	2	3	6	15	18	7	5	12	15	14	9	9	8	5	15	21	11	18	16	11	4	9	12	3	16	7	7	11	4	2	3	4	4	7	6	1	14	10	9	12	6	2	11	
7	18	9	6	10	17	10	9	10	10	8	4	6	9	19	10	8	5	0	19	0	15	14	5	13	18	10	7	5	11	8	14	6	8	4	18	5	18	14	13	8	4	2	5	6	6	13	5	7	14	14	4	10	13	6	9	7	9	11	6	6	3	7	6	8	4	7	7	11	0	3	15	15	15	9	12	7	7	9	11	5	9	15	10	
7	14	7	5	11	18	8	11	14	17	19	23	9	10	22	27	16	1	0	14	0	18	12	7	14	23	13	15	9	20	14	16	14	21	12	20	2	25	24	26	4	6	10	7	16	11	19	3	8	13	25	18	18	16	16	11	14	14	16	12	5	10	9	9	7	12	9	7	8	3	1	10	9	20	9	11	4	15	19	8	12	7	5	7	
