"УИК №2601"	"УИК №2602"	"УИК №2603"	"УИК №2604"	"УИК №2605"	"УИК №2606"	"УИК №2607"	"УИК №2608"	"УИК №2609"	"УИК №2610"	"УИК №2611"	"УИК №2612"	"УИК №2613"	"УИК №2614"	"УИК №2615"	"УИК №2616"	"УИК №2617"	"УИК №2618"	"УИК №2619"	"УИК №2620"	"УИК №2621"	"УИК №2622"	"УИК №2623"	"УИК №2624"	"УИК №2625"	"УИК №2626"	"УИК №2627"	"УИК №2628"	"УИК №2629"	"УИК №2630"	"УИК №2631"	"УИК №2632"	"УИК №2633"	"УИК №2634"	"УИК №2635"	"УИК №2636"	"УИК №2637"	"УИК №2638"	"УИК №2639"	"УИК №2640"	"УИК №2641"	"УИК №2642"	"УИК №2643"	"УИК №2644"	"УИК №2645"	"УИК №2646"	"УИК №2647"	"УИК №2648"	"УИК №2649"	"УИК №2650"	"УИК №2651"	"УИК №2652"	"УИК №2653"	
287	1440	1758	1630	1729	1997	1097	1356	1860	1926	1731	1754	1836	1683	1487	404	232	272	502	418	290	459	757	239	150	604	128	736	1556	78	452	324	359	285	387	306	346	319	742	549	1427	1584	394	499	140	691	603	474	539	210	1171	481	164	
280	1450	1750	1600	1650	1800	1100	1350	1900	1950	1700	1750	1800	1650	1450	420	240	280	530	430	280	470	800	240	150	600	110	750	1500	90	420	340	360	290	390	290	340	290	740	510	1420	1620	380	490	130	680	600	450	510	200	1160	480	164	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
227	726	1006	920	947	1200	940	1082	1149	1371	940	868	1261	922	1182	317	182	211	349	270	212	351	573	196	107	427	87	582	847	63	388	220	279	211	286	235	288	227	547	388	907	1087	325	356	92	326	382	237	352	150	760	340	72	
43	194	355	173	154	103	92	85	31	182	121	157	169	112	69	69	50	38	79	72	48	32	79	23	18	92	23	130	208	12	29	71	35	27	36	42	38	61	123	98	357	285	38	79	30	99	91	113	120	40	196	97	92	
10	530	389	507	549	497	68	183	720	397	639	725	370	616	199	34	8	31	102	88	20	87	148	21	25	81	0	38	445	15	3	49	46	52	68	13	14	2	70	24	156	248	17	55	8	255	127	100	38	10	204	43	0	
43	194	355	173	154	103	92	85	31	182	121	157	169	112	69	69	50	38	79	72	48	32	79	23	18	92	23	130	208	12	29	71	35	27	36	42	38	61	123	98	357	285	38	79	30	99	91	113	120	40	196	97	92	
227	726	1006	920	947	1197	940	1082	1149	1371	940	868	1261	922	1182	317	182	211	349	270	212	351	573	196	107	427	87	582	847	63	388	220	279	211	286	235	288	227	547	388	907	1087	325	356	92	326	382	237	352	150	760	340	72	
2	6	0	4	7	17	5	17	9	9	5	10	4	6	6	0	0	2	2	0	0	4	0	1	0	2	0	10	17	4	0	0	1	0	2	0	1	0	2	2	6	3	0	3	1	2	3	2	0	0	7	0	4	
268	914	1361	1089	1094	1283	1027	1150	1171	1544	1056	1015	1426	1028	1245	386	232	247	426	342	260	379	652	218	125	517	110	702	1038	71	417	291	313	238	320	277	325	288	668	484	1258	1369	363	432	121	423	470	348	472	190	949	437	160	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

1	7	4	4	8	8	0	5	9	4	8	10	4	10	2	0	0	0	1	3	0	2	2	3	0	4	0	1	8	0	2	0	0	1	2	2	1	3	5	1	12	7	0	0	0	0	0	1	0	1	4	1	2	
19	108	95	60	161	166	67	104	162	248	103	141	163	134	64	35	3	13	43	48	14	27	33	26	12	18	3	79	144	1	34	9	16	32	38	12	10	43	106	44	183	208	17	25	8	30	34	23	38	17	78	9	14	
13	55	26	24	54	97	40	50	68	36	52	73	78	82	30	16	3	25	43	4	12	13	47	22	12	41	10	32	63	3	19	14	18	13	36	9	6	10	9	21	38	74	12	28	7	25	15	19	14	9	25	5	8	
228	729	1221	989	845	974	896	955	904	1245	864	774	1146	775	1132	333	224	205	330	280	230	331	561	160	99	447	96	579	806	64	354	267	271	188	241	250	306	232	536	410	967	1054	333	367	106	366	415	295	420	157	827	415	133	
1	5	2	5	9	11	14	23	7	2	9	4	7	11	4	1	1	1	3	2	2	2	0	4	0	3	0	1	2	1	1	0	0	1	2	2	1	0	2	4	13	6	0	6	0	1	1	3	0	1	5	1	0	
5	7	4	3	10	15	4	4	9	3	9	7	13	8	9	0	0	2	4	2	1	1	4	3	0	1	1	5	10	1	6	1	7	1	1	2	0	0	5	4	15	8	1	2	0	1	4	3	0	4	8	2	2	
0	2	8	2	3	6	4	6	9	5	8	4	11	5	3	0	1	1	2	2	0	1	4	0	1	2	0	2	2	0	0	0	1	1	0	0	1	0	2	0	14	4	0	2	0	0	1	2	0	1	1	1	0	
1	1	1	2	4	6	2	3	3	1	3	2	4	3	1	1	0	0	0	1	1	2	1	0	1	1	0	3	3	1	1	0	0	1	0	0	0	0	3	0	16	8	0	2	0	0	0	2	0	0	1	3	1	
