"УИК №3101"	"УИК №3102"	"УИК №3103"	"УИК №3104"	"УИК №3105"	"УИК №3106"	"УИК №3107"	"УИК №3108"	"УИК №3109"	"УИК №3110"	"УИК №3111"	"УИК №3112"	"УИК №3113"	"УИК №3114"	"УИК №3115"	"УИК №3116"	"УИК №3117"	"УИК №3118"	"УИК №3119"	"УИК №3120"	"УИК №3121"	"УИК №3122"	"УИК №3123"	"УИК №3124"	"УИК №3125"	"УИК №3126"	"УИК №3127"	"УИК №3128"	"УИК №3129"	"УИК №3130"	"УИК №3131"	"УИК №3132"	"УИК №3133"	"УИК №3134"	"УИК №3135"	
1395	1316	1144	792	354	987	1099	716	279	745	777	187	265	893	390	183	313	602	848	271	427	181	166	534	300	293	941	234	323	793	444	393	260	333	215	
1420	1345	1186	745	371	1015	1141	727	275	845	799	204	264	931	398	191	333	624	875	288	434	195	171	562	313	312	973	242	333	814	452	406	260	335	182	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
726	758	640	585	266	484	526	306	229	616	672	126	200	361	173	108	253	323	574	176	294	135	135	456	256	232	678	161	227	549	322	301	134	282	121	
99	51	131	103	69	100	207	145	14	129	89	38	54	314	77	59	48	249	208	76	83	25	20	78	36	47	126	31	74	218	100	81	113	35	58	
595	536	415	57	36	431	408	276	32	100	38	40	10	256	148	24	32	52	93	36	57	35	16	28	21	33	169	50	32	47	30	24	13	18	3	
99	51	131	103	69	100	207	145	14	129	89	38	54	314	77	59	48	249	208	76	83	25	20	78	36	47	126	31	74	218	100	81	113	35	58	
726	758	640	585	266	484	526	306	229	616	672	126	200	359	173	108	253	323	574	176	294	135	135	456	256	232	678	161	227	549	322	301	134	282	121	
6	7	6	0	0	4	2	5	1	4	0	0	1	2	1	0	0	2	1	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	
819	802	765	688	335	580	731	446	242	741	761	164	253	671	249	167	301	570	781	252	377	159	155	534	292	279	792	192	301	767	422	382	247	317	179	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

6	8	11	2	3	0	5	1	2	10	5	0	0	2	3	1	0	0	1	0	3	0	0	0	0	0	5	1	1	0	1	0	0	0	0	
112	143	100	28	34	88	117	80	5	61	37	0	5	76	46	11	5	6	43	14	30	8	13	31	3	2	77	17	5	51	16	10	5	6	8	
63	56	85	3	19	51	62	51	3	9	40	8	5	56	24	2	10	17	6	2	13	10	2	16	4	2	46	12	3	25	3	6	7	9	5	
620	572	554	653	275	428	529	307	229	652	666	155	241	522	173	151	286	544	727	234	324	139	140	482	283	275	653	158	286	684	401	366	235	302	165	
3	10	4	1	1	4	5	2	1	1	5	0	1	4	1	1	0	1	0	0	3	1	0	2	1	0	5	1	3	1	1	0	0	0	0	
8	8	6	1	2	5	7	3	1	4	2	1	0	6	1	1	0	2	1	1	4	1	0	2	1	0	2	1	1	3	0	0	0	0	1	
4	5	4	0	1	4	4	2	1	3	3	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	4	2	1	1	0	0	0	0	0	
3	0	1	0	0	0	2	0	0	1	3	0	0	4	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	
