"УИК №588"	"УИК №589"	"УИК №592"	"УИК №593"	"УИК №594"	"УИК №595"	"УИК №596"	"УИК №597"	"УИК №598"	"УИК №599"	"УИК №600"	"УИК №601"	"УИК №602"	"УИК №603"	"УИК №604"	"УИК №605"	"УИК №606"	"УИК №607"	"УИК №608"	
543	549	343	210	385	192	209	227	463	276	203	220	306	449	168	1195	1678	595	568	
580	560	470	230	420	190	220	270	500	290	210	190	300	470	170	1100	1700	620	570	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
248	273	77	109	175	62	65	128	203	127	71	77	161	183	46	704	1086	384	268	
202	225	208	33	109	55	78	63	136	98	71	75	39	186	47	89	92	42	84	
130	62	185	88	136	73	77	79	161	65	68	38	100	101	77	307	522	194	218	
202	225	208	33	109	55	78	63	136	98	71	75	39	186	47	89	92	42	84	
248	273	77	109	175	62	65	128	203	127	71	77	161	183	46	703	1085	384	267	
5	2	1	3	5	0	0	1	4	2	0	0	2	7	1	9	12	7	3	
445	496	284	139	279	117	143	190	335	223	142	152	198	362	92	783	1165	419	348	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	2	0	2	0	0	0	1	6	1	2	1	1	1	1	4	9	3	4	
85	30	23	28	29	11	12	23	41	21	14	7	12	11	2	132	207	96	39	
28	18	20	10	16	9	9	21	27	23	13	10	23	58	7	69	108	30	34	
329	441	236	98	229	95	119	139	256	171	113	128	154	286	80	562	818	284	262	
0	1	2	1	0	1	0	5	2	1	0	5	4	0	1	3	9	2	3	
1	1	1	0	4	1	0	0	2	0	0	0	0	0	0	2	7	1	5	
0	0	2	0	1	0	2	1	1	5	0	0	2	3	1	5	4	3	1	
0	3	0	0	0	0	1	0	0	1	0	1	2	3	0	6	3	0	0	
