"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	
601	392	334	319	1352	882	573	587	758	764	797	711	937	238	544	827	479	641	426	522	
500	350	300	250	1150	800	500	470	600	620	630	570	760	200	460	700	400	550	350	450	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
306	176	164	123	704	388	273	345	348	420	452	388	365	146	205	514	235	243	191	270	
59	20	22	35	55	105	34	31	98	46	86	44	83	25	25	86	43	96	30	36	
135	154	114	92	391	307	193	94	154	154	92	138	312	29	230	100	122	211	129	144	
59	20	22	35	55	105	34	31	98	46	86	44	83	25	25	86	43	96	30	36	
306	176	164	123	704	388	273	345	348	420	452	388	365	146	205	514	235	243	191	270	
7	2	7	4	14	11	1	4	7	12	14	6	5	4	5	7	6	5	6	7	
358	194	179	154	745	482	306	372	439	454	524	426	443	167	225	593	272	334	215	299	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	4	1	1	6	8	3	3	2	3	2	5	3	0	0	9	4	2	2	4	
36	33	22	12	127	71	50	71	83	91	101	63	94	23	33	92	49	41	30	43	
53	26	25	16	94	58	37	53	35	40	50	47	55	7	34	49	17	51	29	31	
259	125	131	120	498	332	208	237	310	309	363	295	286	133	153	425	199	234	149	215	
3	2	0	4	6	5	2	3	2	2	3	4	2	0	0	4	2	1	4	3	
1	3	0	0	6	3	3	3	2	3	3	8	1	4	2	5	0	1	1	2	
4	1	0	1	3	4	2	0	4	5	0	3	0	0	2	6	0	3	0	1	
2	0	0	0	5	1	1	2	1	1	2	1	2	0	1	3	1	1	0	0	
